Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Month,DayOfWeek,Quarter
Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,2019,2,Fri,1
Yes Day,Comedy,2021-03-12,86,5.7,English,2021,3,Fri,1
15 August,Comedy/Drama,2019-03-29,124,5.8,Marathi,2019,3,Fri,1
A California Christmas,Romantic/Comedy,2020-12-14,107,5.8,English,2020,12,Mon,4
A Christmas Prince,Romantic/Comedy,2017-11-17,92,5.8,English,2017,11,Fri,4
All Day and a Night,Drama,2020-05-01,121,5.8,English,2020,5,Fri,2
American Son,Drama,2019-11-01,90,5.8,English,2019,11,Fri,4
Barry,Biopic,2016-12-16,104,5.8,English,2016,12,Fri,4
Candy Jar,Comedy,2018-04-27,92,5.8,English,2018,4,Fri,2
Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,2020,6,Fri,2
Class of '83,Drama,2020-08-21,98,5.8,Hindi,2020,8,Fri,3
Extinction,Science_fiction/Thriller,2018-07-27,95,5.8,English,2018,7,Fri,3
Happy Anniversary,Romantic/Comedy,2018-03-30,78,5.8,English,2018,3,Fri,1
I Am All Girls,Thriller,2021-05-14,107,5.8,English,2021,5,Fri,2
Let It Snow,Romantic/Comedy,2019-11-08,92,5.8,English,2019,11,Fri,4
Mascots,Mockumentary,2016-10-13,95,5.8,English,2016,10,Thu,4
Operation Christmas Drop,Romantic/Comedy,2020-11-05,96,5.8,English,2020,11,Thu,4
Rajma Chawal,Comedy/Drama,2018-11-30,118,5.8,Hindi,2018,11,Fri,4
Rich in Love,Romantic/Comedy,2020-04-30,105,5.8,Portuguese,2020,4,Thu,2
Rising High,Satire,2020-04-17,94,5.8,German,2020,4,Fri,2
Rodney King,One_man_show,2017-04-28,52,5.8,English,2017,4,Fri,2
Sierra Burgess Is a Loser,Romantic/Comedy/Drama,2018-09-07,105,5.8,English,2018,9,Fri,3
Small Crimes,Dark_comedy,2017-04-28,95,5.8,English,2017,4,Fri,2
Special Correspondents,Satire,2016-04-29,100,5.8,English,2016,4,Fri,2
TAU,Science_fiction/Thriller,2018-06-29,97,5.8,English,2018,6,Fri,2
The After Party,Comedy,2018-08-24,89,5.8,English,2018,8,Fri,3
The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English,2020,9,Thu,3
The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch,2020,12,Mon,4
The Kissing Booth 2,Romantic/Comedy,2020-07-24,131,5.8,English,2020,7,Fri,3
The Perfect Date,Romantic/Comedy,2019-04-12,89,5.8,English,2019,4,Fri,2
What We Wanted,Drama,2020-11-11,93,5.8,German,2020,11,Wed,4
You've Got This,Romantic/Comedy,2020-10-02,111,5.8,Spanish,2020,10,Fri,4
6 Balloons,Drama,2018-04-06,75,5.9,English,2018,4,Fri,2
A Fall from Grace,Thriller,2020-01-17,120,5.9,English,2020,1,Fri,1
Amateur,Sports/Drama,2018-04-06,96,5.9,English,2018,4,Fri,2
Army of the Dead,Zombie/Heist,2021-05-21,148,5.9,English,2021,5,Fri,2
Cam,Psychological/Horror,2018-11-16,94,5.9,English,2018,11,Fri,4
Earthquake Bird,Mystery,2019-11-15,107,5.9,English,2019,11,Fri,4
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32,5.9,English,2019,7,Tue,3
Horse Girl,Drama,2020-02-07,104,5.9,English,2020,2,Fri,1
Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English,2018,9,Fri,3
Maska,Romantic/Comedy,2020-03-27,111,5.9,Hindi,2020,3,Fri,1
The Decline,Thriller,2020-03-27,83,5.9,French,2020,3,Fri,1
The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,2021,1,Fri,1
The Polka King,Comedy/Drama,2018-01-12,95,5.9,English,2018,1,Fri,1
The Prom,Musical,2020-12-11,132,5.9,English,2020,12,Fri,4
True Memoirs of an International Assassin,Action/Comedy,2016-11-11,98,5.9,English,2016,11,Fri,4
Ultras,Sports,2020-03-20,108,5.9,Italian,2020,3,Fri,1
Come Sunday,Biopic,2018-04-13,106,6.0,English,2018,4,Fri,2
Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian,2018,5,Fri,2
iBoy,Science_fiction/Thriller,2017-01-27,90,6.0,English,2017,1,Fri,1
Lovefucked,Drama,2019-08-09,106,6.0,Hindi,2019,8,Fri,3
Juanita,Drama,2019-03-08,90,6.0,English,2019,3,Fri,1
Murder Mystery,Comedy/Mystery,2019-06-14,97,6.0,English,2019,6,Fri,2
Project Power,Superhero,2020-08-14,113,6.0,English,2020,8,Fri,3
Rebecca,Romantic/Thriller,2020-10-21,123,6.0,English,2020,10,Wed,4
The Christmas Chronicles: Part Two,Christmas/Comedy,2020-11-25,115,6.0,English,2020,11,Wed,4
The Kissing Booth,Romantic/Comedy,2018-05-11,105,6.0,English,2018,5,Fri,2
The Princess Switch,Romantic/Comedy,2018-11-16,101,6.0,English,2018,11,Fri,4
To All the Boys: P.S. I Still Love You,Romantic/Comedy,2020-02-12,102,6.0,English,2020,2,Wed,1
War Machine,War/Comedy,2017-05-26,122,6.0,English,2017,5,Fri,2
6 Underground,Action,2019-12-13,128,6.1,English,2019,12,Fri,4
Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,2019,9,Fri,3
Burning Sands,Drama,2017-03-10,102,6.1,English,2017,3,Fri,1
Casting JonBenet,Documentary,2017-04-28,80,6.1,English,2017,4,Fri,2
Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,2017,3,Fri,1
Finding 'Ohana,Family,2021-01-29,123,6.1,English,2021,1,Fri,1
Holidate,Romantic/Comedy/Holiday,2020-10-28,104,6.1,English,2020,10,Wed,4
Holiday in the Wild,Adventure/Romance,2019-11-01,85,6.1,English,2019,11,Fri,4
Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,2015,5,Fri,2
Like Father,Comedy,2018-08-03,103,6.1,English,2018,8,Fri,3
Lost Girls,Crime/Drama,2020-03-13,95,6.1,English,2020,3,Fri,1
Otherhood,Comedy,2019-08-02,100,6.1,English,2019,8,Fri,3
Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English,2016,3,Fri,1
Rogue City,Crime/Drama,2020-10-30,116,6.1,French,2020,10,Fri,4
Sergio,Biopic,2020-04-17,118,6.1,English,2020,4,Fri,2
Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,2021,1,Fri,1
Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian,2021,4,Thu,2
The Killer,Western,2017-11-10,99,6.1,Portuguese,2017,11,Fri,4
The Lovebirds,Romantic/Comedy,2020-05-22,87,6.1,English,2020,5,Fri,2
The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,2017,3,Fri,1
The Perfection,Horror/Thriller,2019-05-24,90,6.1,English,2019,5,Fri,2
Tribhanga – Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,2021,1,Fri,1
Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,2020,8,Fri,3
Work It,Dance/Comedy,2020-08-07,93,6.1,English,2020,8,Fri,3
Alien Xmas,Stop_motion,2020-11-20,42,6.2,English,2020,11,Fri,4
Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian,2021,5,Wed,2
Below Zero,Drama,2021-01-29,106,6.2,Spanish,2021,1,Fri,1
Citation,Drama,2020-11-06,151,6.2,English,2020,11,Fri,4
Crazy Awesome Teachers,Comedy/Drama,2020-08-17,101,6.2,Indonesian,2020,8,Mon,3
Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish,2021,4,Fri,2
High Flying Bird,Sports/Drama,2019-02-08,90,6.2,English,2019,2,Fri,1
In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,2019,9,Fri,3
Lost Bullet,Thriller,2020-06-19,92,6.2,French,2020,6,Fri,2
Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English,2020,8,Fri,3
Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,2020,7,Fri,3
Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English,2018,3,Fri,1
Someone Great,Romantic/Comedy,2019-04-19,92,6.2,English,2019,4,Fri,2
Spenser Confidential,Action/Comedy,2020-03-06,111,6.2,English,2020,3,Fri,1
The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,2018,9,Fri,3
The Rachel Divide,Documentary,2018-04-27,104,6.2,English,2018,4,Fri,2
Voyuer ,Documentary,2017-12-01,95,6.2,English,2017,12,Fri,4
Win It All,Comedy,2017-04-07,88,6.2,English,2017,4,Fri,2
1922,Horror/Crime/Drama,2017-10-20,102,6.3,English,2017,10,Fri,4
A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish,2019,5,Wed,2
Alex Strangelove,Romantic/Comedy,2018-06-08,99,6.3,English,2018,6,Fri,2
Apostle,Horror/Thriller,2018-10-12,129,6.3,English,2018,10,Fri,4
Benji,Family,2018-03-16,87,6.3,English,2018,3,Fri,1
Bright,Urban/Fantasy,2017-12-22,117,6.3,English,2017,12,Fri,4
Cargo,Drama/Horror,2018-05-18,104,6.3,English,2018,5,Fri,2
Concrete Cowboy,Drama,2021-04-02,111,6.3,English,2021,4,Fri,2
Feel the Beat,Family/Comedy/Drama,2020-06-19,107,6.3,English,2020,6,Fri,2
Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese,2021,3,Thu,1
I Am Not an Easy Man,Romantic/Comedy,2018-04-13,98,6.3,French,2018,4,Fri,2
June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,2021,1,Thu,1
Music Teacher,Drama,2019-04-19,101,6.3,Hindi,2019,4,Fri,2
Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English,2021,5,Wed,2
Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,2020,11,Tue,4
Polar,Action,2019-01-25,118,6.3,English,2019,1,Fri,1
Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese,2018,12,Fri,4
Sand Castle,War,2017-04-21,113,6.3,English,2017,4,Fri,2
Shimmer Lake,Crime/Thriller,2017-06-09,86,6.3,English,2017,6,Fri,2
Spectral,Science_fiction/Action,2016-12-09,108,6.3,English,2016,12,Fri,4
The Babysitter,Teen/Comedy/Horror,2017-10-13,85,6.3,English,2017,10,Fri,4
The Discovery,Science_fiction/Drama,2017-03-31,102,6.3,English,2017,3,Fri,1
The Forest of Love,Drama,2019-10-11,151,6.3,Japanese,2019,10,Fri,4
The Laundromat,Comedy/Drama,2019-10-18,98,6.3,English,2019,10,Fri,4
The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,2019,3,Fri,1
The Outsider,Crime/Drama,2018-03-09,120,6.3,English/Japanese,2018,3,Fri,1
Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,2020,4,Thu,2
To All the Boys: Always and Forever,Romantic/Comedy,2021-02-12,109,6.3,English,2021,2,Fri,1
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,2019,8,Wed,3
Uncorked,Drama,2020-03-27,103,6.3,English,2020,3,Fri,1
Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,2020,8,Wed,3
"Ariana Grande: Excuse Me, I Love You",Concert,2020-12-21,97,6.4,English,2020,12,Mon,4
ARQ,Science_fiction/Thriller,2016-09-16,88,6.4,English,2016,9,Fri,3
Birders,Documentary,2019-09-25,37,6.4,English/Spanish,2019,9,Wed,3
Como Caído del Cielo,Musical/Comedy,2019-12-24,112,6.4,Spanish,2019,12,Tue,4
First Match,Sports/Drama,2018-03-30,102,6.4,English,2018,3,Fri,1
Fractured,Thriller,2019-10-11,100,6.4,English,2019,10,Fri,4
Irreplaceable You,Drama,2018-02-16,96,6.4,English,2018,2,Fri,1
Isi & Ossi,Romantic/Comedy,2020-02-14,113,6.4,German,2020,2,Fri,1
John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English,2020,8,Thu,3
Layla Majnun,Romantic/Drama,2021-02-11,119,6.4,Indonesian,2021,2,Thu,1
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,2020,4,Wed,2
My Own Man,Documentary,2014-12-13,81,6.4,English,2014,12,Sat,4
Nappily Ever After,Comedy/Drama,2018-09-21,98,6.4,English,2018,9,Fri,3
Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English,2020,10,Fri,4
Street Flow,Drama,2019-10-12,96,6.4,French,2019,10,Sat,4
Strong Island,Documentary,2017-09-15,107,6.4,English,2017,9,Fri,3
Sturgill Simpson Presents: Sound & Fury,Animation/Musicial,2019-09-27,41,6.4,English,2019,9,Fri,3
Take Your Pills,Documentary,2018-03-16,87,6.4,English,2018,3,Fri,1
The Heartbreak Club,Comedy/Drama,2021-01-14,101,6.4,Indonesian,2021,1,Thu,1
The Mars Generation,Documentary,2017-05-05,97,6.4,English,2017,5,Fri,2
The Occupant,Thriller,2020-03-25,103,6.4,Spanish,2020,3,Wed,1
The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English,2020,4,Wed,2
Triple Frontier,Action/Thriller,2019-03-13,125,6.4,English,2019,3,Wed,1
Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,2018,9,Fri,3
Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,2019,3,Fri,1
Wheelman,Action/Thriller,2017-10-20,82,6.4,English,2017,10,Fri,4
When We First Met,Romantic/Comedy,2018-02-09,97,6.4,English,2018,2,Fri,1
A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish,2019,10,Mon,4
All the Bright Places,Romance,2020-02-28,108,6.5,English,2020,2,Fri,1
All Together Now,Drama,2020-08-28,93,6.5,English,2020,8,Fri,3
Altered Carbon: Resleeved,Anime/Science_fiction,2020-03-19,74,6.5,Japanese,2020,3,Thu,1
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,2019,3,Thu,1
Canvas ,Animation/Short,2020-12-11,9,6.5,English,2020,12,Fri,4
Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English,2021,4,Sat,2
Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,2019,5,Fri,2
Da 5 Bloods,War/Drama,2020-06-12,155,6.5,English,2020,6,Fri,2
Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English,2021,4,Wed,2
Eurovision Song Contest: The Story of Fire Saga,Musical/Comedy,2020-06-26,123,6.5,English,2020,6,Fri,2
Gerald's Game,Horror/Thriller,2017-09-29,103,6.5,English,2017,9,Fri,3
His House,Thriller,2020-10-30,93,6.5,English,2020,10,Fri,4
Jingle Jangle: A Christmas Journey,Family/Christmas/Musical,2020-11-13,119,6.5,English,2020,11,Fri,4
Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish,2019,6,Fri,2
Lust Stories,Drama,2018-06-15,120,6.5,Hindi,2018,6,Fri,2
Monster,Drama,2021-05-07,98,6.5,English,2021,5,Fri,2
Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English,2018,12,Fri,4
Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,2020,6,Wed,2
Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English,2017,6,Fri,2
Oxygen,Science_fiction/Thriller,2021-05-12,101,6.5,French,2021,5,Wed,2
Set It Up,Romantic/Comedy,2018-06-15,105,6.5,English,2018,6,Fri,2
The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English,2017,7,Fri,3
Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,2020,4,Fri,2
Tramps,Romance,2017-04-21,83,6.5,English,2017,4,Fri,2
What Did Jack Do?,Drama/Short,2020-01-20,17,6.5,English,2020,1,Mon,1
Bad Trip,Hidden_camera/Prank/Comedy,2021-03-26,86,6.6,English,2021,3,Fri,1
Bird Box,Psychological/Thriller,2018-12-21,124,6.6,English,2018,12,Fri,4
Bulbbul,Horror,2020-06-24,94,6.6,Hindi,2020,6,Wed,2
Crazy About Her,Romantic/Comedy,2021-02-26,102,6.6,Spanish,2021,2,Fri,1
Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish,2019,6,Fri,2
I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,2016,8,Fri,3
I'm Thinking of Ending Things,Psychological/Thriller,2020-09-04,134,6.6,English,2020,9,Fri,3
It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,2019,10,Fri,4
Milestone,Drama,2021-05-07,98,6.6,Hindi,2021,5,Fri,2
Recovery Boys,Documentary,2018-06-29,89,6.6,English,2018,6,Fri,2
ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,2018,12,Fri,4
Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,2020,11,Mon,4
Space Sweepers,Science_fiction,2021-02-05,136,6.6,Korean,2021,2,Fri,1
The American Meme,Documentary,2018-12-07,98,6.6,English,2018,12,Fri,4
The Angel,Spy/Thriller,2018-09-14,114,6.6,English,2018,9,Fri,3
The Crimes That Bind,Crime/Drama,2020-08-20,99,6.6,Spanish,2020,8,Thu,3
The Red Sea Diving Resort,Spy/Thriller,2019-07-31,130,6.6,English,2019,7,Wed,3
What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English,2021,1,Fri,1
A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese,2020,6,Thu,2
Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi,2021,4,Fri,2
Arlo the Alligator Boy,Animated/Musical/Comedy,2021-04-16,92,6.7,English,2021,4,Fri,2
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,2019,11,Wed,4
Blame!,Anime/Science_fiction,2017-05-20,106,6.7,Japanese,2017,5,Sat,2
Blue Miracle,Drama,2021-05-27,95,6.7,English,2021,5,Thu,2
CounterPunch ,Documentary,2017-06-16,91,6.7,English,2017,6,Fri,2
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,2021,1,Mon,1
Extraction,Action,2020-04-24,117,6.7,English,2020,4,Fri,2
Giving Voice,Documentary,2020-12-11,90,6.7,English,2020,12,Fri,4
Hillbilly Elegy,Drama,2020-11-24,117,6.7,English,2020,11,Tue,4
Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English,2020,9,Tue,3
Imperial Dreams,Drama,2017-02-03,87,6.7,English,2017,2,Fri,1
Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese,2020,12,Thu,4
Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese,2019,10,Mon,4
Malcolm & Marie,Romantic/Drama,2021-02-05,106,6.7,English,2021,2,Fri,1
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety_show,2017-02-07,54,6.7,English,2017,2,Tue,1
Moxie,Drama,2021-03-03,111,6.7,English,2021,3,Wed,1
Night in Paradise,Drama,2021-04-09,132,6.7,Korean,2021,4,Fri,2
Paper Lives,Drama,2021-03-12,97,6.7,Turkish,2021,3,Fri,1
Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish,2019,7,Wed,3
Tallulah,Comedy/Drama,2016-07-29,111,6.7,English,2016,7,Fri,3
The Old Guard,Superhero/Action,2020-07-10,124,6.7,English,2020,7,Fri,3
Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116,6.7,English,2016,7,Fri,3
Upstarts,Drama,2019-10-18,112,6.7,Hindi,2019,10,Fri,4
22 July,Drama,2018-10-10,144,6.8,English,2018,10,Wed,4
7 años,Drama,2016-10-28,76,6.8,Spanish,2016,10,Fri,4
A Futile and Stupid Gesture,Biographical/Comedy,2018-01-26,101,6.8,English,2018,1,Fri,1
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish,2020,3,Fri,1
A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English,2020,9,Mon,3
All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin,2019,5,Fri,2
Always Be My Maybe,Romantic/Comedy,2019-05-31,102,6.8,English,2019,5,Fri,2
Becoming,Documentary,2020-05-06,89,6.8,English,2020,5,Wed,2
Long Live Brij Mohan,Comedy,2018-08-03,105,6.8,Hindi,2018,8,Fri,3
Calibre,Thriller,2018-06-29,101,6.8,English,2018,6,Fri,2
Death to 2020,Comedy,2020-12-27,70,6.8,English,2020,12,Sun,4
GIMS: On the Record,Documentary,2020-09-17,96,6.8,French,2020,9,Thu,3
Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English,2020,5,Mon,2
Heroin(e) ,Documentary,2017-09-12,39,6.8,English,2017,9,Tue,3
Mercury 13,Documentary,2018-04-20,79,6.8,English,2018,4,Fri,2
Saving Capitalism,Documentary,2017-11-21,73,6.8,English,2017,11,Tue,4
Serious Men,Drama,2020-10-02,114,6.8,Hindi,2020,10,Fri,4
The Boys in the Band,Drama,2020-09-30,121,6.8,English,2020,9,Wed,3
The Boys in the Band: Something Personal,Aftershow/Interview,2020-09-30,28,6.8,English,2020,9,Wed,3
The Life Ahead,Drama,2020-11-13,95,6.8,Italian,2020,11,Fri,4
The Other Side of the Wind,Drama,2018-11-02,122,6.8,English,2018,11,Fri,4
The Trader,Documentary,2018-02-09,23,6.8,Georgian,2018,2,Fri,1
To the Bone,Drama,2017-07-14,107,6.8,English,2017,7,Fri,3
Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French,2021,1,Wed,1
AK vs AK,Thriller,2020-12-24,108,6.9,Hindi,2020,12,Thu,4
Amanda Knox,Documentary,2016-09-30,92,6.9,English,2016,9,Fri,3
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French,2020,10,Thu,4
Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English,2021,3,Mon,1
Cops and Robbers,Animation/Short,2020-12-28,7,6.9,English,2020,12,Mon,4
I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96,6.9,English,2017,2,Fri,1
Laerte-se,Documentary,2017-05-19,100,6.9,Portuguese,2017,5,Fri,2
Mank,Biopic,2020-12-04,132,6.9,English,2020,12,Fri,4
Our Souls at Night,Romance,2017-09-29,103,6.9,English,2017,9,Fri,3
Outlaw King,Historical/Epic,2018-11-09,121,6.9,English,2018,11,Fri,4
Pagglait,Comedy/Drama,2021-03-26,114,6.9,Hindi,2021,3,Fri,1
ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57,6.9,English,2018,10,Fri,4
Seeing Allred,Documentary,2018-02-09,95,6.9,English,2018,2,Fri,1
Spelling the Dream,Documentary,2020-06-03,83,6.9,English,2020,6,Wed,2
The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English,2020,7,Fri,3
The Half of It,Romance,2020-05-01,105,6.9,English,2020,5,Fri,2
The Highwaymen,Crime/Drama,2019-03-29,131,6.9,English,2019,3,Fri,1
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy/Musical,2019-05-23,30,6.9,English,2019,5,Thu,2
The Meyerowitz Stories (New and Selected),Comedy/Drama,2017-10-13,112,6.9,English,2017,10,Fri,4
Feminists: What Were They Thinking?,Documentary,2018-10-12,86,7.0,English,2018,10,Fri,4
Gaga: Five Foot Two,Documentary,2017-09-22,100,7.0,English,2017,9,Fri,3
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow/Interview,2020-11-03,14,7.0,English,2020,11,Tue,4
Kingdom of Us,Documentary,2017-10-13,109,7.0,English,2017,10,Fri,4
"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7.0,Spanish,2019,11,Wed,4
Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7.0,Spanish,2019,9,Sun,3
Ma Rainey's Black Bottom,Drama,2020-12-18,94,7.0,English,2020,12,Fri,4
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow/Interview,2020-12-18,31,7.0,English,2020,12,Fri,4
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99,7.0,English,2021,3,Wed,1
Pele,Documentary,2021-02-23,108,7.0,English,2021,2,Tue,1
ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7.0,English,2019,4,Fri,2
ReMastered: The Lion's Share,Documentary,2019-05-17,84,7.0,English,2019,5,Fri,2
ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7.0,English,2019,3,Fri,1
Resurface,Documentary,2017-09-01,27,7.0,English,2017,9,Fri,3
Rocko's Modern Life: Static Cling,Animation/Comedy,2019-08-09,45,7.0,English,2019,8,Fri,3
Rose Island,Comedy,2020-12-09,117,7.0,Italian,2020,12,Wed,4
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104,7.0,English,2018,11,Thu,4
The Dirt,Biopic,2019-03-22,108,7.0,English,2019,3,Fri,1
