Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Month,DayOfWeek,Quarter
Fire in Paradise,Documentary,2019-11-01,39,7.4,English,2019,11,Fri,4
Long Shot,Documentary,2017-09-29,40,7.4,English,2017,9,Fri,3
Miss Americana,Documentary,2020-01-31,85,7.4,English,2020,1,Fri,1
Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi,2019,2,Tue,1
Shawn Mendes: Live in Concert,Concert,2020-11-25,87,7.4,English,2020,11,Wed,4
Shirkers,Documentary,2018-10-26,97,7.4,English,2018,10,Fri,4
The Black Godfather,Documentary,2019-06-07,118,7.4,English,2019,6,Fri,2
The Irishman: In Conversation,Aftershow/Interview,2019-11-27,23,7.4,English,2019,11,Wed,4
The Speed Cubers,Documentary,2020-07-29,40,7.4,English,2020,7,Wed,3
They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,2018,11,Fri,4
Tig,Documentary,2015-07-17,80,7.4,English,2015,7,Fri,3
"Barbra: The Music, The Mem'ries, The Magic!",Concert,2017-11-22,108,7.5,English,2017,11,Wed,4
Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,2020,10,Wed,4
City of Joy,Documentary,2018-09-07,74,7.5,English,2018,9,Fri,3
Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,2020,10,Fri,4
Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English,2019,4,Wed,2
Invader Zim: Enter the Florpus,Animation/Science_fiction,2019-08-16,71,7.5,English,2019,8,Fri,3
Joan Didion: The Center Will Not Hold,Documentary,2017-10-27,98,7.5,English,2017,10,Fri,4
John Mulaney & the Sack Lunch Bunch,Variety_show,2019-12-24,70,7.5,English,2019,12,Tue,4
Reversing Roe,Documentary,2018-09-13,99,7.5,English,2018,9,Thu,3
The White Helmets,Documentary,2016-09-16,40,7.5,English,2016,9,Fri,3
Athlete A,Documentary,2020-06-24,104,7.6,English,2020,6,Wed,2
Ludo,Anthology/Dark_comedy,2020-11-12,149,7.6,Hindi,2020,11,Thu,4
Quincy,Documentary,2018-09-21,124,7.6,English,2018,9,Fri,3
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English,2019,6,Wed,2
Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,2019,10,Fri,4
The Bleeding Edge,Documentary,2018-07-27,100,7.6,English,2018,7,Fri,3
The Social Dilemma,Documentary,2020-09-09,94,7.6,English,2020,9,Wed,3
The Two Popes,Drama,2019-12-20,125,7.6,English,2019,12,Fri,4
"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,2015,6,Fri,2
